Category	Term	Count	%	Pvalue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_FAT	GO:0006631~fatty acid metabolic process	8	10.81081081081081	0.016347531652566506	RV3800C, RV0119, RV0242C, RV0931C, RV0241C, RV2048C, RV1074C, RV0118C	40	139	1986	2.8575539568345323	0.9967185554104068	1.0	100.0
GOTERM_BP_FAT	GO:0044283~small molecule biosynthetic process	12	16.216216216216218	0.017438840294480677	RV3800C, RV3607C, RV0558, RV0242C, RV0423C, RV3754, RV0931C, RV1133C, RV0422C, RV0241C, RV2048C, RV1659	40	285	1986	2.090526315789474	0.9977675659239491	1.0	100.0
KEGG_PATHWAY	mtu01110:Biosynthesis of secondary metabolites	12	16.216216216216218	0.023663955935483143	RV1445C, RV3684, RV0558, RV1447C, RV0242C, RV1563C, RV3754, RV1133C, RV0243, RV1074C, RV1659, RV3140	21	346	1099	1.815028901734104	0.5877364469525983	0.5763586174231154	57.63586174231155
GOTERM_BP_FAT	GO:0006732~coenzyme metabolic process	7	9.45945945945946	0.02912938184150758	RV1445C, RV3607C, RV0558, RV1447C, RV1596, RV0423C, RV0422C	40	122	1986	2.8487704918032786	0.9999649255195152	1.0	100.0
KEGG_PATHWAY	mtu01100:Metabolic pathways	18	24.324324324324326	0.030334664074900815	RV3684, RV0242C, RV1596, RV0423C, RV3754, RV0422C, RV1074C, RV0118C, RV1659, RV1445C, RV3607C, RV0558, RV1447C, RV2163C, RV1563C, RV1133C, RV0243, RV3140	21	695	1099	1.3553956834532375	0.680103705840758	0.5763586174231154	57.63586174231155
GOTERM_BP_FAT	GO:0009108~coenzyme biosynthetic process	5	6.756756756756757	0.048037841531499904	RV3607C, RV0558, RV1596, RV0423C, RV0422C	40	71	1986	3.4964788732394365	0.9999999618907228	1.0	100.0
GOTERM_BP_FAT	GO:0019752~carboxylic acid metabolic process	14	18.91891891891892	0.04952665381812017	RV0242C, RV1596, RV0931C, RV3754, RV1414, RV1074C, RV2048C, RV0118C, RV1659, RV3607C, RV3800C, RV0119, RV1133C, RV0241C	40	418	1986	1.6629186602870814	0.999999977860894	1.0	100.0
GOTERM_CC_FAT	GO:0030139~endocytic vesicle	2	2.7027027027027026	0.050872185663490437	RV0288, RV0287	40	2	1514	37.85	0.7289074914973008	0.18168637736960871	14.534910189568699
GOTERM_CC_FAT	GO:0031983~vesicle lumen	2	2.7027027027027026	0.050872185663490437	RV0288, RV0287	40	2	1514	37.85	0.7289074914973008	0.18168637736960871	14.534910189568699
GOTERM_CC_FAT	GO:0097013~phagocytic vesicle lumen	2	2.7027027027027026	0.050872185663490437	RV0288, RV0287	40	2	1514	37.85	0.7289074914973008	0.18168637736960871	14.534910189568699
GOTERM_CC_FAT	GO:0060205~cytoplasmic vesicle lumen	2	2.7027027027027026	0.050872185663490437	RV0288, RV0287	40	2	1514	37.85	0.7289074914973008	0.18168637736960871	14.534910189568699
